Name,Calories (kcal),Total fat (g),Saturated fat (g),Cholesterol (mg),Sodium (mg),Total carbohydrate (g),Dietary fiber (g),Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Category,Concentrated fruit and vegetable (%),FNVL (%),Health Star Rating
Chicken ramen,135.0,5.0,1.7,32.0,381.0,16.0,0.9,1.0,6.7,0.1,18.0,1.4,117.8,2,0,0,3.5
Tonkatsu ramen,116.0,3.9,0.8,44.0,220.0,11.0,0.7,0.9,8.7,0.2,19.0,0.9,144.7,2,0,0,4.0
Miso ramen,85.0,2.2,0.6,33.0,260.0,9.9,0.7,0.7,6.2,0.1,17.0,0.8,95.3,2,0,0,3.5
Miso soup,24.0,1.2,0.2,0.0,444.0,1.5,0.5,0.5,2.4,0.0,58.0,0.5,39.3,2,0,30,3.0
Imitation crab,95.0,0.5,0.2,20.0,529.0,15.0,0.5,6.3,7.6,0.0,13.0,0.4,90.0,2,0,0,3.0
Ham,139.0,5.1,1.0,64.0,977.0,1.1,0.0,1.1,22.0,0.8,4.0,0.8,345.0,2,0,0,3.5
Pad thai,170.0,9.0,2.2,81.0,263.0,9.2,0.9,3.6,13.0,0.3,22.0,0.9,160.1,2,0,0,3.5
Pork chop,209.0,11.0,3.5,84.0,55.0,0.0,0.0,0.0,26.0,0.8,24.0,0.8,344.0,2,0,0,4.0
Prime rib,341.0,27.0,11.0,83.0,63.0,0.0,0.0,0.0,23.0,0.0,13.0,2.4,324.0,2,0,0,2.0
Tofu,83.0,5.3,0.9,0.0,4.0,1.2,1.0,0.7,10.0,0.0,282.0,2.0,130.0,2,0,0,4.0
Fried tofu,270.0,20.0,2.9,0.0,16.0,8.9,3.9,2.7,19.0,0.0,372.0,4.9,146.0,2,0,0,4.5
Mapo tofu,102.0,7.4,1.2,8.3,382.0,3.1,0.8,1.0,7.2,0.1,130.0,1.2,131.1,2,0,0,3.5
Pad thai,170.0,9.0,2.2,81.0,263.0,9.2,0.9,3.6,13.0,0.3,22.0,0.9,160.1,2,0,0,3.5
Cooked rice,130.0,0.3,0.1,0.0,1.0,28.0,0.4,0.1,2.7,0.0,10.0,1.2,35.0,2,0,0,3.5
Cooked brown rice,112.0,0.8,0.2,0.0,1.0,24.0,1.8,0.0,2.3,0.0,10.0,0.5,79.0,2,0,0,3.5
Shrimp and grits,149.0,8.3,4.3,62.0,471.0,8.8,0.6,0.3,9.5,0.1,117.0,0.5,95.1,2,0,0,3.0
Gyoza,211.0,10.0,2.3,25.0,375.0,20.0,1.3,1.0,9.4,0.1,38.0,1.4,187.4,2,0,0,3.5
Grilled pork chop,209.0,11.0,3.5,84.0,55.0,0.0,0.0,0.0,26.0,0.8,24.0,0.8,344.0,2,0,0,4.0
Fried pork chop,288.0,16.0,3.2,89.0,444.0,16.0,1.1,1.2,19.0,0.7,57.0,1.8,258.1,2,0,0,3.5
Bbq pork chop,201.0,8.9,2.8,66.0,259.0,8.6,0.2,7.0,20.0,0.6,26.0,0.8,320.4,2,0,0,4.0
Prime rib,341.0,27.0,11.0,83.0,63.0,0.0,0.0,0.0,23.0,0.0,13.0,2.4,324.0,2,0,0,2.0
Beef carpaccio,231.0,17.0,7.5,68.0,340.0,2.5,0.3,0.9,17.0,0.0,107.0,1.3,289.3,2,0,0,3.0
Salmon carpaccio,172.0,10.0,2.4,43.0,70.0,2.7,0.4,1.4,16.0,8.6,12.0,0.4,324.7,2,0,0,4.0
Beef tartare,246.0,20.0,6.5,152.0,180.0,2.6,0.6,0.8,15.0,0.5,45.0,1.5,256.4,2,0,0,3.5
Salmon tartare,229.0,19.0,3.3,29.0,705.0,3.5,1.8,0.4,12.0,5.8,18.0,0.6,333.5,2,0,0,3.0
Beignet,291.0,9.4,2.3,25.0,150.0,44.0,1.4,8.5,6.6,0.4,46.0,2.3,103.2,2,0,0,3.5
Bibimbap,113.0,2.6,0.7,28.0,192.0,18.0,0.7,1.3,4.2,0.1,27.0,1.0,144.3,2,0,0,3.5
Beef bibimbap,113.0,2.6,0.7,28.0,192.0,18.0,0.7,1.3,4.2,0.1,27.0,1.0,144.3,2,0,0,3.5
Tofu bibimbap,102.0,2.9,0.5,23.0,207.0,16.0,1.1,1.7,3.9,0.1,50.0,1.1,147.4,2,0,0,3.5
Chicken bibimbap,109.0,2.2,0.5,28.0,191.0,18.0,0.7,1.3,4.2,0.1,27.0,0.9,138.5,2,0,0,3.5
Ceviche,68.0,1.1,0.4,31.0,362.0,2.2,0.4,0.9,13.0,1.9,12.0,0.4,252.4,2,0,0,4.0
Mixto ceviche,68.0,1.1,0.4,31.0,362.0,2.2,0.4,0.9,13.0,1.9,12.0,0.4,252.4,2,0,0,4.0
Ceviche octopus,109.0,2.9,0.3,44.0,230.0,6.8,0.4,1.6,14.0,0.0,58.0,4.4,361.0,2,0,0,4.0
Shrimp ceviche,58.0,2.1,0.3,46.0,255.0,4.9,1.3,1.4,5.6,0.0,29.0,0.3,188.5,2,0,0,4.0
